frame,time_ms,right_elbow,left_elbow,right_knee,left_knee,right_shoulder,left_shoulder,lmk_11_x,lmk_11_y,lmk_11_z,lmk_12_x,lmk_12_y,lmk_12_z,lmk_13_x,lmk_13_y,lmk_13_z,lmk_14_x,lmk_14_y,lmk_14_z,lmk_15_x,lmk_15_y,lmk_15_z,lmk_16_x,lmk_16_y,lmk_16_z,lmk_17_x,lmk_17_y,lmk_17_z,lmk_18_x,lmk_18_y,lmk_18_z,lmk_19_x,lmk_19_y,lmk_19_z,lmk_20_x,lmk_20_y,lmk_20_z,lmk_21_x,lmk_21_y,lmk_21_z,lmk_22_x,lmk_22_y,lmk_22_z,lmk_23_x,lmk_23_y,lmk_23_z,lmk_24_x,lmk_24_y,lmk_24_z,lmk_25_x,lmk_25_y,lmk_25_z,lmk_26_x,lmk_26_y,lmk_26_z,lmk_27_x,lmk_27_y,lmk_27_z,lmk_28_x,lmk_28_y,lmk_28_z,lmk_29_x,lmk_29_y,lmk_29_z,lmk_30_x,lmk_30_y,lmk_30_z,lmk_31_x,lmk_31_y,lmk_31_z,lmk_32_x,lmk_32_y,lmk_32_z,neck_x,neck_y,neck_z,neck_angle
34,1133,181.0,181.0,181.0,181.0,181.0,181.0,-0.3941227197647095,0.4799918532371521,-0.4637904167175293,0.34649014472961426,0.3652206361293793,-0.7939151525497437,,,,,,,,,,0.6930961310863495,0.9484984874725342,-2.404182195663452,,,,0.7868181467056274,1.0101003646850586,-2.75148344039917,,,,0.63368359208107,1.0465129613876343,-2.800794839859009,,,,0.5575183629989624,0.981788694858551,-2.461700916290283,0.042096495628356934,1.0242736339569092,0.12258551269769669,0.5012961328029633,0.9243901371955872,-0.12303195148706436,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
35,1166,181.0,181.0,181.0,181.0,181.0,181.0,-0.4300715923309326,0.441580593585968,-0.4986919164657593,0.32691991329193115,0.35110071301460266,-0.9546472430229187,,,,,,,,,,0.6836828887462616,0.9090356826782227,-3.12512469291687,,,,0.7552174031734467,0.9820196032524109,-3.5469980239868164,,,,0.6180680394172668,1.00016188621521,-3.601653814315796,,,,0.5605299770832062,0.9463320970535278,-3.1941487789154053,-0.10976636409759521,0.9505116939544678,0.14478300511837006,0.35777992010116577,0.9006314873695374,-0.14541105926036835,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
36,1200,150.85212644653453,181.0,181.0,181.0,42.202087167798155,181.0,-0.5210591554641724,0.40318384766578674,-0.721635103225708,0.23964613676071167,0.3055908977985382,-1.2680026292800903,,,,0.5599420368671417,0.6067718267440796,-1.8997433185577393,,,,0.6430695056915283,0.8686034083366394,-3.1211769580841064,,,,0.7269861996173859,0.9593506455421448,-3.4880423545837402,,,,0.589009702205658,0.9571883678436279,-3.5688226222991943,,,,0.5079611539840698,0.9378790855407715,-3.1916964054107666,-0.16197121143341064,0.9225471019744873,0.149460569024086,0.282177209854126,0.838903546333313,-0.1504257470369339,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
37,1233,181.0,181.0,181.0,181.0,181.0,181.0,0.6990907490253448,0.7576169967651367,-1.0415254831314087,0.769918367266655,1.100140929222107,-0.9038826823234558,0.3646862506866455,0.35795897245407104,-1.2281761169433594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
38,1266,181.0,181.0,181.0,181.0,181.0,181.0,-0.3857154846191406,0.24906781315803528,1.105595350265503,0.2936106324195862,0.2583746612071991,0.050694555044174194,,,,0.5562412142753601,0.5473142862319946,-0.8875517845153809,,,,,,,,,,,,,,,,0.5581324100494385,0.9351464509963989,-2.452986717224121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
39,1300,152.557065442024,181.0,181.0,181.0,45.8753778663674,181.0,-0.27324962615966797,0.16223184764385223,0.32357895374298096,0.36012905836105347,0.17081476747989655,-0.9615049362182617,,,,0.5546162128448486,0.5521371364593506,-1.298321008682251,,,,0.5529288649559021,0.7824100255966187,-1.848034143447876,,,,,,,,,,0.4696606993675232,0.8763609528541565,-2.194037437438965,,,,,,,-0.23537802696228027,0.8056535720825195,0.35514065623283386,0.14248406887054443,0.808235764503479,-0.3568587303161621,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
40,1333,181.0,181.0,181.0,181.0,181.0,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
41,1366,181.0,181.0,181.0,181.0,181.0,181.0,-0.21846699714660645,0.2743636667728424,0.8005046844482422,0.4045271873474121,0.3300367593765259,0.40531012415885925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2714799642562866,0.728498637676239,0.0983748659491539,0.09410178661346436,0.7632741332054138,-0.10054471343755722,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
42,1400,181.0,181.0,181.0,181.0,181.0,181.0,0.7156054675579071,0.7571850419044495,-0.3493155837059021,0.7240128219127655,0.9463518261909485,-0.697838544845581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0018924474716186523,0.8738433122634888,0.22404007613658905,-0.018077850341796875,1.010045051574707,-0.2253689020872116,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
43,1433,181.0,181.0,181.0,181.0,181.0,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
44,1466,181.0,181.0,181.0,181.0,181.0,181.0,0.9238653555512428,1.0342518091201782,-0.6310552358627319,0.7330403029918671,0.8955105543136597,-0.6544351577758789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
45,1500,181.0,181.0,181.0,181.0,181.0,181.0,,,,0.5176113247871399,0.9305595755577087,-1.2779688835144043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.204189419746399,0.8585422039031982,-0.1495116651058197,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
46,1533,181.0,181.0,181.0,181.0,181.0,181.0,0.5413306653499603,1.2083276510238647,-0.9394448399543762,0.4511958956718445,0.9713636040687561,-1.3452527523040771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1140646860003471,0.9150625467300415,-0.10549013316631317,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
47,1566,181.0,181.0,181.0,181.0,181.0,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
